Order,PID,MS_SubClass,Lot_Frontage,Lot_Area,Lot_Shape,Land_Contour,Lot_Config,Neighborhood,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Exterior_1st,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,Bsmt_Unf_SF,Total_Bsmt_SF,Central_Air,Electrical,SF_1st_Flr,SF_2nd_Flr,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Yr_Blt,Garage_Finish,Garage_Cars,Garage_Area,Garage_Qual,Garage_Cond,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Ssn3_Porch,Screen_Porch,Fence,Misc_Val,Mo_Sold,Yr_Sold,SaleCondition,SalePrice
1748,528235000,80,87,11084,IR1,Lvl,Corner,Gilbert,1Fam,SLvl,7,5,2004,2004,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,GLQ,192,192,384,Y,SBrkr,744,630,1374,1,0,2,1,3,Gd,8,1,Gd,BuiltIn,2004,Fin,2,400,TA,TA,100,0,0,0,0,NA,0,6,2007,Family,175000
1749,528235160,60,59,11796,IR1,Lvl,Inside,Gilbert,1Fam,2Story,7,5,2004,2005,Gable,VinylSd,Gd,TA,PConc,Gd,TA,Av,Unf,0,847,847,Y,SBrkr,847,1112,1959,0,0,2,1,4,Gd,8,1,Gd,BuiltIn,2004,Fin,2,434,TA,TA,100,48,0,0,0,NA,0,7,2007,Normal,215000
1750,528235170,20,59,10936,IR1,Lvl,Inside,Gilbert,1Fam,1Story,7,5,2006,2006,Gable,VinylSd,Gd,TA,PConc,Gd,TA,Av,Unf,0,1510,1510,Y,SBrkr,1525,0,1525,0,0,2,1,3,Gd,6,1,Gd,Attchd,2006,RFn,2,534,TA,TA,100,18,0,0,0,NA,0,4,2007,Partial,206580
1751,528240020,60,62,8244,IR1,Lvl,Inside,Gilbert,1Fam,2Story,7,5,2004,2004,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,840,840,Y,SBrkr,840,880,1720,0,0,2,1,3,Gd,7,1,Gd,Attchd,2004,Fin,2,440,TA,TA,100,48,0,0,0,NA,0,5,2007,Normal,183500
1752,528250010,80,,11950,IR1,Lvl,Corner,Gilbert,1Fam,SLvl,7,5,2003,2003,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,384,384,Y,SBrkr,754,640,1394,0,0,2,1,3,Gd,7,1,TA,BuiltIn,2003,Fin,2,400,TA,TA,100,0,0,0,0,NA,0,10,2007,Normal,165500
1753,528250070,60,63,7875,Reg,Lvl,Inside,Gilbert,1Fam,2Story,7,5,2003,2003,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,847,847,Y,SBrkr,847,1101,1948,0,0,2,1,4,Gd,8,1,Gd,BuiltIn,2003,Fin,2,434,TA,TA,0,48,0,0,0,NA,0,7,2007,Normal,211000
1754,528275035,60,,8063,Reg,Lvl,Inside,Gilbert,1Fam,2Story,6,5,2000,2000,Gable,VinylSd,TA,TA,PConc,Gd,TA,No,Unf,0,924,924,Y,SBrkr,948,742,1690,0,0,2,1,3,TA,7,1,TA,Attchd,2000,RFn,2,463,TA,TA,100,48,0,0,0,NA,0,11,2007,Abnorml,181000
1755,528275110,60,,8740,IR1,Lvl,Inside,Gilbert,1Fam,2Story,7,5,2002,2002,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,GLQ,574,280,854,Y,SBrkr,864,1131,1995,0,0,2,1,4,Gd,8,1,Gd,BuiltIn,2002,Fin,2,435,TA,TA,264,48,0,0,0,NA,0,7,2007,Normal,219500
1756,528280110,60,62,7917,Reg,Lvl,Inside,Gilbert,1Fam,2Story,6,5,1999,2000,Gable,VinylSd,TA,TA,PConc,Gd,TA,No,Unf,0,953,953,Y,SBrkr,953,694,1647,0,0,2,1,3,TA,7,1,TA,Attchd,1999,RFn,2,460,TA,TA,0,40,0,0,0,NA,0,8,2007,Normal,175000
1757,528280150,80,76,9967,IR1,Lvl,Inside,Gilbert,1Fam,SLvl,7,5,2000,2000,Gable,VinylSd,TA,TA,PConc,Gd,TA,No,Unf,0,384,384,Y,SBrkr,774,656,1430,0,0,2,1,3,TA,8,1,TA,BuiltIn,2000,RFn,2,400,TA,TA,100,0,0,0,0,NA,0,12,2007,Normal,170000
1758,528290060,60,,7750,Reg,Lvl,Inside,Gilbert,1Fam,2Story,7,5,2003,2003,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,660,660,Y,SBrkr,660,660,1320,0,0,2,1,3,Gd,6,0,NA,Attchd,2003,Fin,2,400,TA,TA,0,48,0,0,0,NA,0,8,2007,Normal,162000
1759,528290170,60,58,9487,IR1,Lvl,Inside,Gilbert,1Fam,2Story,6,5,2000,2000,Gable,VinylSd,TA,TA,PConc,Gd,TA,No,GLQ,520,395,915,Y,SBrkr,940,750,1690,1,0,2,1,3,TA,7,1,TA,Attchd,2000,RFn,2,442,TA,TA,0,50,0,0,0,NA,0,6,2007,Normal,187000
1760,528294010,60,59,9649,IR1,Lvl,Inside,Gilbert,1Fam,2Story,6,5,1999,2000,Gable,VinylSd,TA,TA,PConc,Gd,TA,No,Unf,0,941,941,Y,SBrkr,961,683,1644,0,0,2,1,3,TA,7,1,TA,Attchd,1999,RFn,2,460,TA,TA,460,42,0,0,0,NA,0,5,2007,Normal,185000
1761,528320050,60,160,15623,IR1,Lvl,Corner,NoRidge,1Fam,2Story,10,5,1996,1996,Hip,Wd Sdng,Gd,TA,PConc,Ex,TA,Av,GLQ,2096,300,2396,Y,SBrkr,2411,2065,4476,1,0,3,1,4,Ex,10,2,TA,Attchd,1996,Fin,3,813,TA,TA,171,78,0,0,0,MnPrv,0,7,2007,Abnorml,745000
1762,528322020,60,100,12191,IR1,Lvl,Inside,NoRidge,1Fam,2Story,8,5,1997,1998,Hip,VinylSd,Gd,TA,PConc,Gd,TA,Av,GLQ,1181,598,1779,Y,SBrkr,1779,772,2551,1,0,2,1,4,Gd,8,2,TA,Attchd,1998,Fin,3,925,TA,TA,76,61,0,0,0,NA,0,6,2007,Normal,384500
1763,528326060,60,,11000,Reg,Lvl,FR2,NoRidge,1Fam,2Story,8,5,2000,2000,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,969,969,Y,SBrkr,997,1288,2285,0,0,2,1,4,Gd,8,1,TA,BuiltIn,2000,Fin,3,648,TA,TA,0,56,0,0,0,NA,0,6,2007,Normal,248000
1764,528327060,20,,11400,Reg,Lvl,Inside,NoRidge,1Fam,1Story,10,5,2001,2002,Hip,VinylSd,Ex,TA,PConc,Ex,TA,Gd,GLQ,1282,1351,2633,Y,SBrkr,2633,0,2633,1,0,2,1,2,Ex,8,2,Gd,Attchd,2001,RFn,3,804,TA,TA,314,140,0,0,0,NA,0,3,2007,Normal,466500
1765,528340030,60,89,10557,IR1,Lvl,Inside,NoRidge,1Fam,2Story,9,5,1998,1998,Gable,MetalSd,Gd,TA,PConc,Ex,TA,Gd,GLQ,672,736,1408,Y,SBrkr,1671,1407,3078,1,0,2,1,4,Gd,9,1,TA,Attchd,1998,Fin,3,806,TA,TA,108,87,0,0,0,NA,0,7,2007,Normal,410000
1766,528344020,60,74,11002,IR1,Lvl,Inside,NoRidge,1Fam,2Story,8,5,1998,1999,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,GLQ,1048,341,1389,Y,SBrkr,1411,1171,2582,1,0,2,1,4,Gd,9,1,TA,Attchd,1998,Fin,3,758,TA,TA,286,60,0,0,0,NA,0,1,2007,Normal,322500
1767,528348030,60,83,10790,Reg,Lvl,Inside,NoRidge,1Fam,2Story,7,5,1998,1998,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,1066,1066,Y,SBrkr,1108,1277,2385,0,0,2,1,4,Gd,8,1,TA,BuiltIn,1998,Fin,3,600,TA,TA,120,38,0,0,0,NA,0,5,2007,Normal,252000
1768,528351010,60,104,21535,IR1,Lvl,Corner,NoRidge,1Fam,2Story,10,6,1994,1995,Gable,HdBoard,Ex,TA,PConc,Ex,TA,Gd,GLQ,1455,989,2444,Y,SBrkr,2444,1872,4316,0,1,3,1,4,Ex,10,2,Ex,Attchd,1994,Fin,3,832,TA,TA,382,50,0,0,0,NA,0,1,2007,Normal,755000
1769,528354060,60,92,9920,IR1,Lvl,CulDSac,NoRidge,1Fam,2Story,7,5,1996,1997,Gable,MetalSd,Gd,TA,PConc,Gd,TA,Av,GLQ,862,255,1117,Y,SBrkr,1127,886,2013,1,0,2,1,3,TA,8,1,TA,Attchd,1997,Unf,2,455,TA,TA,180,130,0,0,0,NA,0,6,2007,Normal,269790
1770,528354110,60,95,11787,IR1,Lvl,Inside,NoRidge,1Fam,2Story,7,5,1996,1997,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,GLQ,719,660,1379,Y,SBrkr,1383,1015,2398,1,0,2,1,3,Gd,8,1,TA,Attchd,1996,Fin,3,834,TA,TA,239,60,0,0,0,NA,0,8,2007,Normal,315750
1771,528358040,60,82,9950,IR1,Lvl,Inside,NoRidge,1Fam,2Story,7,5,1995,1995,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,GLQ,565,638,1203,Y,SBrkr,1214,1306,2520,0,0,2,1,4,Gd,9,1,TA,Attchd,1995,RFn,3,721,TA,TA,224,114,0,0,0,NA,0,6,2007,Abnorml,290000
1772,528364110,60,65,12257,IR1,Lvl,Inside,NoRidge,1Fam,2Story,8,5,1995,1995,Gable,VinylSd,Gd,TA,PConc,Gd,TA,Av,LwQ,56,1198,1318,Y,SBrkr,1328,1203,2531,0,0,2,1,4,Gd,9,1,TA,Attchd,1995,RFn,3,752,TA,TA,222,98,0,0,0,NA,0,11,2007,Normal,290000
1773,528366050,20,,12692,IR1,Lvl,Inside,NoRidge,1Fam,1Story,8,5,1992,1993,Hip,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,1231,1969,3200,Y,SBrkr,3228,0,3228,1,0,3,0,4,Gd,10,1,Gd,Attchd,1992,RFn,2,546,TA,TA,264,75,291,0,0,NA,0,5,2007,Normal,430000
1774,528366070,60,88,11762,Reg,Lvl,Inside,NoRidge,1Fam,2Story,8,5,1992,1993,Gable,VinylSd,Gd,TA,PConc,Ex,TA,No,GLQ,335,770,1105,Y,SBrkr,1105,1097,2202,1,0,2,1,4,Gd,9,1,TA,Attchd,1992,RFn,2,517,TA,TA,0,65,0,0,144,NA,0,9,2007,Normal,263000
1775,528376010,60,82,9044,IR1,Lvl,Inside,NoRidge,1Fam,2Story,8,5,1996,1997,Gable,VinylSd,Gd,Gd,PConc,Gd,TA,No,GLQ,1225,100,1325,Y,SBrkr,1335,1203,2538,0,0,2,1,4,Gd,8,1,TA,Attchd,1996,RFn,3,933,TA,TA,198,92,0,0,0,NA,0,5,2007,Normal,330000
1776,528427040,20,75,9910,Reg,Lvl,Inside,Somerst,1Fam,1Story,7,6,2007,2007,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,1369,1369,Y,SBrkr,1369,0,1369,0,0,2,0,3,Gd,5,0,NA,Attchd,2007,Unf,2,605,TA,TA,0,203,0,0,0,NA,0,9,2007,Partial,213133
1777,528427100,20,91,11830,Reg,Lvl,Inside,Somerst,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,GLQ,1220,322,1542,Y,SBrkr,1542,0,1542,1,0,2,0,3,Gd,6,1,Gd,Attchd,2007,Unf,3,852,TA,TA,168,110,0,0,0,NA,0,7,2007,Partial,260261
1778,528429090,20,84,11670,IR1,Lvl,Corner,Somerst,1Fam,1Story,9,5,2006,2006,Hip,VinylSd,Ex,TA,PConc,Ex,Gd,No,Unf,0,1905,1905,Y,SBrkr,1905,0,1905,0,0,2,0,3,Ex,8,1,Gd,Attchd,2006,Fin,3,788,TA,TA,0,191,0,0,0,NA,0,3,2007,Normal,320000
1779,528429110,20,49,15256,IR1,Lvl,CulDSac,Somerst,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,Gd,TA,PConc,Gd,TA,Gd,GLQ,929,556,1485,Y,SBrkr,1464,0,1464,1,0,2,0,3,Gd,6,0,NA,Attchd,2007,Unf,3,754,TA,TA,168,160,0,0,0,NA,0,8,2007,Normal,282922
1780,528431030,20,76,10612,Reg,Lvl,Inside,Somerst,1Fam,1Story,8,5,2006,2006,Gable,VinylSd,Gd,TA,PConc,Gd,TA,Mn,GLQ,28,1496,1524,Y,SBrkr,1534,0,1534,0,0,2,0,3,Gd,7,1,Gd,Attchd,2006,Fin,2,484,TA,TA,168,46,0,0,0,NA,0,1,2007,Family,215000
1781,528431040,20,98,12291,IR1,Lvl,Inside,Somerst,1Fam,1Story,10,5,2007,2007,Hip,CemntBd,Ex,TA,PConc,Ex,TA,Av,GLQ,1572,394,1966,Y,SBrkr,1966,0,1966,1,0,2,0,1,Ex,6,1,Gd,Attchd,2007,Fin,3,1092,TA,TA,76,52,0,0,0,NA,0,10,2007,Partial,419005
1782,528431050,20,116,13501,IR1,Lvl,Corner,Somerst,1Fam,1Story,8,5,2006,2006,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,GLQ,63,1560,1623,Y,SBrkr,1636,0,1636,1,0,2,0,3,Gd,8,1,Gd,Attchd,2006,RFn,3,865,TA,TA,0,60,0,0,0,NA,0,6,2007,Normal,255000
1783,528431110,20,75,9986,Reg,Lvl,Inside,Somerst,1Fam,1Story,8,5,2006,2007,Gable,VinylSd,Gd,TA,PConc,Ex,TA,Av,Unf,0,1795,1795,Y,SBrkr,1795,0,1795,0,0,2,0,2,Gd,7,1,Gd,Attchd,2007,RFn,3,895,TA,TA,0,49,0,0,0,NA,0,2,2007,Partial,147000
1784,528435010,20,85,9965,Reg,Lvl,FR2,Somerst,1Fam,1Story,7,5,2007,2007,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,1528,1528,Y,SBrkr,1528,0,1528,0,0,3,2,3,Gd,6,1,TA,Attchd,2007,Unf,2,480,TA,TA,0,228,0,0,0,NA,0,9,2007,Partial,235876
1785,528435040,20,79,9416,Reg,Lvl,Inside,Somerst,1Fam,1Story,7,5,2007,2007,Hip,CemntBd,Ex,TA,PConc,Ex,TA,No,GLQ,1126,600,1726,Y,SBrkr,1726,0,1726,1,0,2,0,3,Ex,8,1,Gd,Attchd,2007,Fin,3,786,TA,TA,171,138,0,0,266,NA,0,9,2007,Partial,311872
1786,528435060,20,83,9849,Reg,Lvl,Inside,Somerst,1Fam,1Story,7,6,2007,2007,Hip,VinylSd,Gd,TA,PConc,Gd,TA,Av,Unf,0,1689,1689,Y,SBrkr,1689,0,1689,0,0,2,0,3,Gd,7,0,NA,Attchd,2007,RFn,3,954,TA,TA,0,56,0,0,0,NA,0,6,2007,Partial,248328
1787,528435070,20,85,10000,Reg,Lvl,Inside,Somerst,1Fam,1Story,8,5,2006,2006,Hip,VinylSd,Gd,TA,PConc,Gd,Gd,Av,Unf,0,1588,1588,Y,SBrkr,1588,0,1588,0,0,2,0,3,Gd,7,1,Gd,Attchd,2006,RFn,3,825,TA,TA,144,45,0,0,0,NA,0,12,2007,Normal,227000
1788,528439040,20,74,8847,Reg,Lvl,Inside,Somerst,1Fam,1Story,8,5,2005,2005,Gable,VinylSd,Gd,TA,PConc,Gd,TA,Av,GLQ,769,769,1538,Y,SBrkr,1538,0,1538,1,0,2,0,3,Gd,7,0,NA,Attchd,2005,RFn,2,484,TA,TA,146,40,0,0,0,NA,0,12,2007,Normal,260000
1789,528439050,20,76,9158,Reg,Lvl,Inside,Somerst,1Fam,1Story,8,5,2007,2007,Gable,CemntBd,Gd,TA,PConc,Gd,TA,Av,Unf,0,1496,1496,Y,SBrkr,1496,0,1496,0,0,2,0,3,Gd,7,0,NA,Attchd,2007,Fin,2,474,TA,TA,168,130,0,0,0,NA,0,6,2007,Partial,225000
1790,528439080,20,70,8251,Reg,Lvl,Inside,Somerst,1Fam,1Story,7,5,2005,2006,Gable,VinylSd,Gd,TA,PConc,Gd,Gd,Av,GLQ,778,716,1494,Y,SBrkr,1506,0,1506,1,0,2,0,3,Gd,7,1,Gd,Attchd,2005,RFn,2,672,TA,TA,192,35,0,0,0,NA,0,4,2007,Normal,249000
1791,528441080,20,75,10084,Reg,Lvl,Inside,Somerst,1Fam,1Story,8,5,2004,2005,Gable,VinylSd,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,317,1686,Y,SBrkr,1694,0,1694,1,0,2,0,3,Gd,7,1,Gd,Attchd,2004,RFn,2,636,TA,TA,255,57,0,0,0,NA,0,8,2007,Normal,307000
1792,528445020,60,70,9605,Reg,Lvl,Inside,Somerst,1Fam,2Story,7,5,2006,2006,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,982,982,Y,SBrkr,982,995,1977,0,0,2,1,3,Gd,7,0,NA,Attchd,2006,RFn,3,574,TA,TA,240,53,0,0,0,NA,0,7,2007,Family,250000
1793,528445070,60,75,8778,Reg,Lvl,Inside,Somerst,1Fam,2Story,8,5,2006,2006,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,1302,1302,Y,SBrkr,1302,528,1830,0,0,2,1,3,Gd,7,0,NA,BuiltIn,2006,RFn,3,859,TA,TA,0,40,0,0,0,NA,0,3,2007,Normal,221300
1794,528456190,20,72,8640,Reg,Lvl,Inside,Somerst,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,GLQ,24,1314,1338,Y,SBrkr,1338,0,1338,0,0,2,0,3,Gd,6,0,NA,Attchd,2007,RFn,2,598,TA,TA,0,141,0,0,0,NA,0,11,2007,Partial,208900
1795,528456230,20,75,9000,Reg,Lvl,Inside,Somerst,1Fam,1Story,7,5,2006,2007,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,1335,1335,Y,SBrkr,1335,0,1335,0,0,2,0,3,Gd,6,0,NA,Attchd,2007,RFn,2,575,TA,TA,0,210,0,0,0,NA,0,6,2007,Partial,210400
1796,528458080,60,72,8640,Reg,Lvl,Inside,Somerst,1Fam,2Story,8,5,2007,2007,Gable,VinylSd,Gd,TA,PConc,Gd,TA,Av,GLQ,350,546,896,Y,SBrkr,896,896,1792,0,0,2,1,3,Gd,8,0,NA,Attchd,2007,Fin,2,590,TA,TA,184,96,0,0,0,NA,0,11,2007,Partial,255000
1797,528458090,60,81,10411,Reg,Lvl,Corner,Somerst,1Fam,2Story,5,5,2007,2007,Gable,VinylSd,Gd,TA,CBlock,Gd,TA,,Unf,0,725,725,Y,SBrkr,725,863,1588,0,0,3,0,3,Gd,8,0,NA,Attchd,2007,Unf,2,561,TA,TA,0,0,0,0,0,NA,0,7,2007,Partial,212109
1798,528458120,60,75,9000,Reg,Lvl,Inside,Somerst,1Fam,2Story,8,5,2006,2006,Gable,VinylSd,Gd,TA,PConc,Gd,TA,Av,Unf,0,1088,1088,Y,SBrkr,1088,871,1959,0,0,2,1,3,Gd,8,1,Gd,Attchd,2006,RFn,3,1025,TA,TA,208,46,0,0,0,NA,0,12,2007,Normal,270000
1799,528458130,60,75,9000,Reg,Lvl,Inside,Somerst,1Fam,2Story,8,5,2007,2007,Gable,CemntBd,Gd,TA,PConc,Gd,TA,Av,GLQ,64,1120,1184,Y,SBrkr,1184,1426,2610,0,0,2,1,4,Ex,11,1,Gd,BuiltIn,2007,Fin,2,550,TA,TA,208,364,0,0,0,NA,0,8,2007,Partial,303477
1800,528458150,60,112,12217,IR1,Lvl,Inside,Somerst,1Fam,2Story,8,5,2007,2007,Hip,WdShing,Gd,TA,PConc,Ex,TA,Av,GLQ,745,210,955,Y,SBrkr,955,925,1880,1,0,2,1,3,Ex,8,1,Gd,Attchd,2007,Fin,3,880,TA,TA,168,127,0,0,0,NA,0,12,2007,Partial,310013
1801,528477020,20,84,11096,Reg,Lvl,Inside,Somerst,1Fam,1Story,8,5,2006,2006,Gable,VinylSd,Gd,TA,PConc,Gd,TA,Av,GLQ,24,1632,1656,Y,SBrkr,1656,0,1656,0,0,2,0,3,Gd,7,0,NA,Attchd,2006,RFn,3,826,TA,TA,0,146,0,0,0,NA,0,7,2007,Normal,249700
1802,528480020,60,84,10207,Reg,Lvl,Inside,Somerst,1Fam,2Story,7,6,2007,2007,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,874,874,Y,SBrkr,874,887,1761,0,0,3,0,3,Gd,7,0,NA,Attchd,2007,Fin,2,578,TA,TA,144,105,0,0,0,NA,0,8,2007,Partial,227875
1803,528480180,20,84,10440,Reg,Lvl,Corner,Somerst,1Fam,1Story,8,5,2007,2007,Gable,CemntBd,Ex,TA,PConc,Gd,TA,Mn,Unf,0,1574,1574,Y,SBrkr,1584,0,1584,0,0,2,0,2,Ex,6,1,Gd,Attchd,2007,Fin,2,594,TA,TA,0,256,0,0,0,NA,0,5,2007,Partial,261329
1804,528482010,20,100,11824,IR1,Lvl,Corner,Somerst,1Fam,1Story,8,5,2006,2006,Gable,VinylSd,Gd,TA,PConc,Gd,TA,Av,Unf,0,1685,1685,Y,SBrkr,1685,0,1685,0,0,2,0,2,Gd,5,1,Gd,Attchd,2006,Fin,3,658,TA,TA,112,63,0,0,0,NA,0,4,2007,Normal,253000
1805,528482030,60,85,10625,Reg,Lvl,Inside,Somerst,1Fam,2Story,6,5,2004,2004,Gable,VinylSd,Gd,TA,PConc,Gd,TA,Av,Unf,0,1158,1158,Y,SBrkr,1158,1285,2443,0,0,2,1,4,Gd,9,1,Gd,BuiltIn,2004,RFn,3,744,TA,TA,193,127,0,0,0,NA,0,6,2007,Normal,265000
1806,528482090,60,102,11143,IR1,Lvl,Corner,Somerst,1Fam,2Story,8,5,2004,2005,Gable,CemntBd,Gd,TA,PConc,Gd,TA,No,Unf,0,1580,1580,Y,SBrkr,1580,886,2466,0,0,3,0,4,Gd,8,1,Gd,Attchd,2004,RFn,2,610,TA,TA,159,214,0,0,0,NA,0,12,2007,Normal,340000
1807,531363020,20,63,7500,Reg,Lvl,Inside,SawyerW,1Fam,1Story,6,5,2006,2007,Gable,VinylSd,TA,TA,PConc,Gd,TA,No,Unf,0,1100,1100,Y,SBrkr,1100,0,1100,0,0,1,1,3,TA,6,0,NA,NA,,NA,0,0,NA,NA,0,136,0,0,0,NA,0,6,2007,Partial,146000
1808,531363040,20,63,7500,Reg,Lvl,Inside,SawyerW,1Fam,1Story,7,5,2006,2006,Gable,VinylSd,Gd,TA,PConc,Gd,Gd,No,Unf,0,1143,1143,Y,SBrkr,1143,0,1143,0,0,1,1,3,Gd,5,0,NA,NA,,NA,0,0,NA,NA,0,55,0,0,0,NA,0,10,2007,Normal,147000
1809,531375140,20,60,12450,Reg,Lvl,Inside,SawyerW,1Fam,1Story,5,5,2003,2004,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,GLQ,729,365,1094,Y,SBrkr,1094,0,1094,1,0,1,0,3,Gd,6,0,NA,Detchd,2004,Unf,2,576,TA,TA,0,0,0,0,0,NA,0,5,2007,Normal,149000
1810,531376060,20,65,7441,IR1,Lvl,Inside,SawyerW,1Fam,1Story,7,5,2006,2006,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,1461,1461,Y,SBrkr,1486,0,1486,0,0,2,0,3,Gd,7,0,NA,Attchd,2006,RFn,2,566,TA,TA,0,32,0,0,0,NA,0,6,2007,Normal,181000
1811,531380110,60,70,8462,IR1,Lvl,Inside,SawyerW,1Fam,2Story,6,5,1994,1994,Gable,HdBoard,Gd,Gd,PConc,Gd,Gd,No,GLQ,814,114,928,Y,SBrkr,936,785,1721,0,1,2,1,3,Gd,7,0,NA,Attchd,1994,RFn,2,471,TA,TA,300,87,0,0,0,NA,0,7,2007,Normal,201000
1812,531384070,60,,11613,IR2,Lvl,Corner,SawyerW,1Fam,2Story,6,5,1993,1997,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,ALQ,480,384,864,Y,SBrkr,920,900,1820,0,0,2,1,3,Gd,7,0,NA,Attchd,1993,RFn,2,492,TA,TA,144,85,0,0,0,GdPrv,0,5,2007,Normal,191750
1813,531385070,20,65,8450,Reg,Lvl,Inside,SawyerW,1Fam,1Story,7,5,2000,2001,Gable,VinylSd,TA,TA,PConc,Gd,TA,No,Unf,0,1349,1349,Y,SBrkr,1349,0,1349,0,0,2,0,3,TA,6,0,NA,Attchd,2000,Unf,2,539,TA,TA,120,55,0,0,0,GdPrv,0,12,2007,Normal,179000
1814,531385130,20,,16196,IR3,Low,Inside,SawyerW,1Fam,1Story,7,5,1998,1998,Gable,VinylSd,Gd,TA,PConc,Gd,TA,Gd,GLQ,1443,39,1482,Y,SBrkr,1494,0,1494,1,0,2,0,3,Gd,5,1,Fa,Attchd,1998,RFn,2,514,TA,TA,402,25,0,0,0,NA,0,8,2007,Normal,215000
1815,531451030,120,50,8012,Reg,Lvl,Inside,SawyerW,TwnhsE,1Story,6,5,1992,1992,Gable,Plywood,Gd,TA,PConc,Gd,TA,No,GLQ,430,1145,1575,Y,SBrkr,1575,0,1575,1,0,2,0,2,Gd,5,0,NA,Attchd,1992,RFn,2,529,TA,TA,0,0,52,0,0,NA,0,7,2007,Normal,179200
1816,531451150,160,50,8012,Reg,Lvl,Inside,SawyerW,TwnhsE,2Story,6,5,1980,1980,Gable,Plywood,TA,TA,CBlock,TA,TA,No,Unf,0,630,630,Y,SBrkr,630,636,1266,0,0,1,1,2,TA,5,2,TA,Attchd,1980,RFn,1,283,TA,TA,340,0,0,0,0,MnPrv,0,7,2007,Normal,128000
1817,531453140,85,,9180,IR1,Lvl,CulDSac,SawyerW,1Fam,SFoyer,5,7,1983,1983,Gable,HdBoard,TA,TA,CBlock,Gd,TA,Av,ALQ,747,0,840,Y,SBrkr,884,0,884,1,0,1,0,2,Gd,5,0,NA,Attchd,1983,RFn,2,504,TA,Gd,240,0,0,0,0,MnPrv,0,12,2007,Normal,144000
1818,531477040,90,60,8400,Reg,Lvl,Inside,SawyerW,Duplex,1Story,5,5,1977,1977,Gable,Plywood,TA,TA,Slab,NA,NA,NA,NA,0,0,0,Y,SBrkr,2020,0,2020,0,0,2,0,4,TA,10,2,TA,Detchd,1977,Unf,2,630,TA,TA,0,0,0,0,0,NA,0,10,2007,Normal,144000
1819,532353120,20,64,6285,Reg,Lvl,Inside,Sawyer,1Fam,1Story,5,5,1977,1977,Gable,Plywood,TA,TA,CBlock,Gd,TA,No,LwQ,138,405,894,Y,SBrkr,894,0,894,1,0,1,0,2,TA,5,0,NA,Detchd,1979,Unf,1,308,TA,TA,192,0,0,0,0,NA,0,3,2007,Normal,120750
1820,532354010,20,80,8480,Reg,Lvl,Corner,Sawyer,1Fam,1Story,5,6,1963,1963,Hip,HdBoard,TA,TA,CBlock,TA,TA,No,GLQ,630,340,970,Y,SBrkr,970,0,970,1,0,1,0,2,TA,5,0,NA,Detchd,1996,Unf,2,624,TA,TA,0,24,0,0,192,NA,0,7,2007,Normal,132500
1821,532354060,20,70,7420,Reg,Lvl,Inside,Sawyer,1Fam,1Story,5,5,1962,1962,Hip,MetalSd,TA,TA,CBlock,TA,TA,No,Rec,417,640,1057,Y,SBrkr,1057,0,1057,0,0,1,0,3,TA,6,0,NA,Detchd,1977,Fin,2,576,TA,TA,0,0,0,0,0,NA,0,4,2007,Normal,132000
